original,mapped
ArmCurl_end,Exercise
Art,Hobby
Barbe,Errands
Bath_end,Hygiene
Bath_start,Hygiene
Bathe,Hygiene
Begin_Sleep,Sleep
Bike,Exercise
Booking_Flights,Work
Brushing_Teeth,Hygiene
Brush_Teeth,Hygiene
BrushTeeth_end,Hygiene
BrushTeeth_start,Hygiene
Brushteeth_end,Hygiene
Brushteeth_start,Hygiene
Bus,Travel
Chill,Relax
chores,Housework
Chores,Housework
Cinema,Socialize
Class,Work
Clean,Housework
Climbing_Stairs,Exercise
Comida,Eat
Concert,Socialize
Cook,Eat
Curling_Hair,Hygiene
Cycle,Exercise
Dishes,Housework
Do_Dishes,Housework
Dress,Hygiene
Dressing,Hygiene
Drink,Eat
Drink_end,Eat
Drink_start,Eat
Drive,Travel
Dry_Hair,Hygiene
eat,Eat
Eat,Eat
Eat_end,Eat
Eat_begin,Eat
Eat_start,Eat
Ejercicios,Exercise
End_Sleep,Sleep
entertainment,Hobby
Erands,Errands
errands,Errands
Errands,Errands
exercise,Exercise
Exercise,Exercise
FinishMeal_end,Eat
FinishMeal_start,Eat
FinishShowerOrBath_end,Hygiene
FinishShowerOrBath_start,Hygiene
Fly,Travel
Football_Game,Socialize
Gaming,Hobby
Getting_Coffee,Eat
Getting_Ready,Hygiene
Getting_Ready_For_Bed,Hygiene
Get_Up,Hygiene
Golf,Exercise
Groceries,Errands
Groom,Hygiene
Grooming,Hygiene
Guitar,Hobby
Higiene,Hygiene
hobby,Hobby
Hobby,Hobby
Homework,Work
Housework,Housework
Hw,Work
hygiene,Hygiene
Hygiene,Hygiene
Ironing,Housework
job,Work
Lab,Work
Lab_Meeting,Work
Laying_Down,Relax
LeaveHome_end,Socialize
LeaveHome_start,Socialize
LieDown_end,Relax
LieDown_start,Relax
Makeup,Hygiene
Mandados,Errands
Meal,Eat
Mealtime,Eat
Meeting,Work
Moving,Errands
Other,Other
Otra,Other
Packing,Housework
Park,Socialize
Party,Socialize
Pasatiempos,Hobby
Piano,Hobby
Play,Hobby
Practice,Hobby
Pray,Hobby
Read,Hobby
Relajación,Relax
relax,Relax
Relax,Relax
Report_Writing,Work
Research,Work
Rest,Relax
Restroom,Hygiene
ReturnHome_end,Socialize
ReturnHome_start,Socialize
Run,Exercise
school,Work
School,Work
School_Work,Work
Scoring_Tests,Work
Sex,Hobby
Shave_end,Hygiene
Shave_start,Hygiene
Shop,Errands
Shopping,Errands
Shower,Hygiene
Shower_end,Hygiene
Shower_start,Hygiene
sleep,Sleep
Sleep,Sleep
Sleep_Start,Sleep
Snack,Eat
Soccer,Exercise
Socializar,Socialize
Socialize,Socialize
Start_Sleep,Sleep
Stop_Sleep,Sleep
Store,Errands
Stretch,Exercise
Study,Work
Studying,Work
Surfing,Exercise
Tea,Eat
Teeth,Hygiene
Teeth_Brushing,Hygiene
Test,Work
Toilet,Hygiene
Toileting,Hygiene
Trabajo,Work
travel,Travel
Travel,Travel
Tv,Hobby
Viaje,Travel
Videogames,Hobby
Video_Games,Hobby
Wake,Sleep
Wakeup,Sleep
Wake_Up,Sleep
Waking_Up,Sleep
Walk,Exercise
Walk_end,Exercise
Walking_Frantically,Exercise
Walk_start,Exercise
WalkTask_end,Exercise
WalkTask_start,Exercise
Washing_Dishes,Housework
Watching_Football,Hobby
Watch_Tv,Hobby
Wear,Hygiene
Woke_Up,Sleep
Work,Work
Workout,Exercise
Work_Out,Exercise
